id,track_name,popularity,track_id,duration_ms,album_name,release_date,total_tracks,artist_names,artist_ids,genre
876,I'll Be Your Man,59,7ve0nLuGlLfqw0EbL2UZEV,140933,The Big Come Up,2002-05-14,13,['The Black Keys'],['7mnBLXK823vNxN3UWB7Gfz'],blues
877,Hey Mama,56,71DxoKxpHcW8iaYNczwGi3,240666,Tearing At The Seams,2018-03-09,12,['Nathaniel Rateliff & The Night Sweats'],['02seUFsFQP7TH4hLrTj77o'],blues
878,In One Ear,55,2VRJIIzbhhOGaxAhwCMfZX,241320,Cage The Elephant (Expanded Edition),2009-03-24,12,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
879,You've Created a Monster,60,5jUOuMBnav0iyM6DINhETm,158924,You've Created a Monster,2021-10-29,1,['Bohnes'],['4aN7T7NNFFMRJgVbRPne8q'],blues
880,Hell Yeah,60,2qABxQZhfAthNxszLiSsUw,247613,Light It Up,2008-01-01,10,['Rev Theory'],['10n5DVRlZbjbZ5ffpwpn6l'],blues
881,Sound & Color,54,7tHxwM0lDw0FwlCT4VAggT,182466,Sound & Color (Deluxe Edition),2015,19,['Alabama Shakes'],['16GcWuvvybAoaHr0NqT8Eh'],blues
882,Your Touch,59,5lJUXSjRjevVy7I3P87wuK,162586,Magic Potion,2006-09-12,11,['The Black Keys'],['7mnBLXK823vNxN3UWB7Gfz'],blues
883,Seven Nation Army - The Glitch Mob Remix,61,4IiuExPFijOGZnVxGsKWcc,257021,Seven Nation Army (The Glitch Mob Remix),2021-04-23,1,"['The White Stripes', 'The Glitch Mob']","['4F84IBURUo98rz4r61KF70', '3a9qv6NLHnsVxJUtKOMHvD']",blues
884,For the Glory,62,030D3duTUTfJORIycOhZNr,279308,Machines,2017-10-20,9,['All Good Things'],['2uMWUtg8XLpJxNSqbGOkl1'],blues
885,Smooth Sailin',57,3jpeI1goQHPIwwCMxrLrwx,183333,Coming Home (Deluxe),2015-06-23,15,['Leon Bridges'],['3qnGvpP8Yth1AqSBMqON5x'],blues
886,Midnight in Harlem,56,1ncSAZD0bzvU3cu0uPLbWd,352666,Revelator,2011-06-03,12,['Tedeschi Trucks Band'],['2gFsmDBM0hkoZPmrO5EdyO'],blues
887,The Well,56,4wszHgvhXYlN2Io813hLQ1,177093,El Dorado,2020-01-17,12,['Marcus King'],['0FeWKiZSwBRdGzqeCdlH1a'],blues
888,The Mystic,60,424GDxARRXRaZ7Mla9EDI2,189600,The Mystic,2016-11-04,1,['Adam Jensen'],['7ymrIsmp4vE7vAtcS12J4D'],blues
889,This Feeling,53,7xM33k6Z3ADF8pEmIClcnz,268853,Sound & Color (Deluxe Edition),2015,19,['Alabama Shakes'],['16GcWuvvybAoaHr0NqT8Eh'],blues
890,Bad Bad News,60,7FxzgizJRGTQ3fxUqfvljg,207306,Good Thing,2018-05-04,10,['Leon Bridges'],['3qnGvpP8Yth1AqSBMqON5x'],blues
891,Gladiator,58,5MwHFyLLnI45oiikrAqO8A,188333,Modern Alchemy,2018-06-08,13,['Zayde Wølf'],['7LIy7KinYq7a83dUH6kvxT'],blues
892,HiFi (True Light),56,6W2pDHqWoU81UsvMSFN6pz,202733,Neon Pill,2024-05-17,12,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
